Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
IND_BOILER_WOOD;0.8946;0;1;0;1.00E+15
DHN_BOILER_GAS;0.95;0;1;0;1.00E+15
DHN_BOILER_OIL;0.95;0;1;0;1.00E+15
DEC_BOILER_GAS;1;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;0
OIL_TO_HVC;0.994;0;1;0;1.00E+15
GENSET_DIESEL;1;0;1;0.0098;1.00E+15
STOVE_WOOD;0.1875;0.319710;0.320710;0.003900338;1.00E+15
STOVE_LPG;0.1875;0.647193;0.648193;0.008285832;1.00E+15
STOVE_NG;0.1875;0.030097;0.031097;0.00023995;1.00E+15
TRUCK_FG;0.01805556;0.03161;0.1128946;0;1.00E+15
TRUCK_GASOLINE;0.01805556;0.177915;0.63541169;0;1.00E+15
TRUCK_DIESEL_P;0.01805556;0.070474;0.25169371;0;1.00E+15
LNG_STORAGE;1;0;1;0.428;1.00E+15
CONVENTIONAL_BULB;1;0.786865;0.787865261;0;1.00E+15
LED_BULB;1;0.211135;0.212134739;0;1.00E+15
CONVENTIONAL_LIGHT;1;0;1;0;1.00E+15
REGASIFICATION;1;0;1;0.00049375;1.00E+15
HVAC_LINE;1;0;1;0;1.00E+15
GAS_PIPELINE;1;0;1;0;1.00E+15
DIESEL_PIPELINE;1;0;1;0;1.00E+15
GASOLINE_PIPELINE;1;0;1;0;1.00E+15
LPG_PIPELINE;1;0;1;0;1.00E+15
LFO_PIPELINE;1;0;1;0;1.00E+15
JET_FUEL_PIPELINE;1;0;1;0;1.00E+15
