Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
IND_BOILER_WOOD;0.8946;0;1;0;1.00E+15
DHN_BOILER_GAS;0.95;0;1;0;1.00E+15
DHN_BOILER_OIL;0.95;0;1;0;1.00E+15
DEC_BOILER_GAS;1;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;1.00E+15
OIL_TO_HVC;0.994;0;1;0;1.00E+15
GENSET_DIESEL;1;1;1;0.0001;1.00E+15
STOVE_WOOD;0.1875;0.3320919;0.3330919;0.000031492;1.00E+15
STOVE_LPG;0.1875;0.3269804;0.3279804;0.000066901;1.00E+15
STOVE_NG;0.1875;0.3379277;0.3389277;0.000001937;1.00E+15
TRUCK_FG;0.01805556;0;0;0;0
TRUCK_GASOLINE;0.01805556;0.205266341;0.733094074;0;1.00E+15
TRUCK_DIESEL_P;0.01805556;0.074733659;0.266905926;0;1.00E+15
CONVENTIONAL_BULB;1;0.7868653;0.787865261;0;1.00E+15
LED_BULB;1;0.2111347;0.212134739;0;1.00E+15
CONVENTIONAL_LIGHT;1;0;1;0;1.00E+15
LNG_STORAGE;1;0;1;0.428;1.00E+15
REGASIFICATION;1;0;1;0.00008229;1.00E+15
HVAC_LINE;1;0;1;0;1.00E+15
GAS_PIPELINE;1;0;1;0;1.00E+15
DIESEL_PIPELINE;1;0;1;0;1.00E+15
GASOLINE_PIPELINE;1;0;1;0;1.00E+15
LPG_PIPELINE;1;0;1;0;1.00E+15
LFO_PIPELINE;1;0;1;0;1.00E+15
JET_FUEL_PIPELINE;1;0;1;0;1.00E+15
